Date,Open,High,Low,Close
09/28/2023,"19,761.80","19,766.65","19,492.10","19,523.55"
09/27/2023,"19,637.05","19,730.70","19,554.00","19,716.45"
09/26/2023,"19,682.80","19,699.35","19,637.45","19,664.70"
09/25/2023,"19,678.20","19,734.15","19,601.55","19,674.55"
09/22/2023,"19,744.85","19,798.65","19,657.50","19,674.25"
09/21/2023,"19,840.55","19,848.75","19,709.95","19,742.35"
09/20/2023,"19,980.75","20,050.65","19,878.85","19,901.40"
09/18/2023,"20,155.95","20,195.35","20,115.70","20,133.30"
09/15/2023,"20,156.45","20,222.45","20,129.70","20,192.35"
09/14/2023,"20,127.95","20,167.65","20,043.45","20,103.10"
09/13/2023,"19,989.50","20,096.90","19,944.10","20,070.00"
09/12/2023,"20,110.15","20,110.35","19,914.65","19,993.20"
09/11/2023,"19,890.00","20,008.15","19,865.35","19,996.35"
09/08/2023,"19,774.80","19,867.15","19,727.05","19,819.95"
09/07/2023,"19,598.65","19,737.00","19,550.05","19,727.05"
09/06/2023,"19,581.20","19,636.45","19,491.50","19,611.05"
09/05/2023,"19,564.65","19,587.05","19,525.75","19,574.90"
09/04/2023,"19,525.05","19,545.15","19,432.85","19,528.80"
09/01/2023,"19,258.15","19,458.55","19,255.70","19,435.30"
08/31/2023,"19,375.55","19,388.20","19,223.65","19,253.80"
08/30/2023,"19,433.45","19,452.80","19,334.75","19,347.45"
08/29/2023,"19,374.85","19,377.90","19,309.10","19,342.65"
08/28/2023,"19,298.35","19,366.85","19,249.70","19,306.05"
08/25/2023,"19,297.40","19,339.55","19,229.70","19,265.80"
08/24/2023,"19,535.15","19,584.45","19,369.00","19,386.70"
08/23/2023,"19,439.20","19,472.05","19,366.60","19,444.00"
08/22/2023,"19,417.10","19,443.50","19,381.30","19,396.45"
08/21/2023,"19,320.65","19,425.95","19,296.30","19,393.60"
08/18/2023,"19,301.75","19,373.80","19,253.60","19,310.15"
08/17/2023,"19,450.55","19,461.55","19,326.25","19,365.25"
08/16/2023,"19,369.00","19,482.75","19,317.20","19,465.00"
08/14/2023,"19,383.95","19,465.85","19,257.90","19,434.55"
08/11/2023,"19,554.25","19,557.75","19,412.75","19,428.30"
08/10/2023,"19,605.55","19,623.60","19,495.40","19,543.10"
08/09/2023,"19,578.80","19,645.50","19,467.50","19,632.55"
08/08/2023,"19,627.20","19,634.40","19,533.10","19,570.85"
08/07/2023,"19,576.85","19,620.45","19,524.80","19,597.30"
08/04/2023,"19,462.80","19,538.85","19,436.45","19,517.00"
08/03/2023,"19,463.75","19,537.65","19,296.45","19,381.65"
08/02/2023,"19,655.40","19,678.25","19,423.55","19,526.55"
08/01/2023,"19,784.00","19,795.60","19,704.60","19,733.55"
07/31/2023,"19,666.35","19,772.75","19,597.60","19,753.80"
07/28/2023,"19,659.75","19,695.90","19,563.10","19,646.05"
07/27/2023,"19,850.90","19,867.55","19,603.55","19,659.90"
07/26/2023,"19,733.35","19,825.60","19,716.70","19,778.30"
07/25/2023,"19,729.35","19,729.35","19,615.95","19,680.60"
07/24/2023,"19,748.45","19,782.75","19,658.30","19,672.35"
07/21/2023,"19,800.45","19,887.40","19,700.00","19,745.00"
07/20/2023,"19,831.70","19,991.85","19,758.40","19,979.15"
07/19/2023,"19,802.95","19,851.70","19,727.45","19,833.15"
07/18/2023,"19,787.50","19,819.45","19,690.20","19,749.25"
07/17/2023,"19,612.15","19,731.85","19,562.95","19,711.45"
07/14/2023,"19,493.45","19,595.35","19,433.50","19,564.50"
07/13/2023,"19,495.20","19,567.00","19,385.80","19,413.75"
07/12/2023,"19,497.45","19,507.70","19,361.75","19,384.30"
07/11/2023,"19,427.10","19,515.10","19,406.45","19,439.40"
07/10/2023,"19,400.35","19,435.85","19,327.10","19,355.90"
07/07/2023,"19,422.80","19,523.60","19,303.60","19,331.80"
07/06/2023,"19,385.70","19,512.20","19,373.00","19,497.30"
07/05/2023,"19,405.95","19,421.60","19,339.60","19,398.50"
07/04/2023,"19,406.60","19,434.15","19,300.00","19,389.00"
07/03/2023,"19,246.50","19,345.10","19,234.40","19,322.55"
06/30/2023,"19,076.85","19,201.70","19,024.60","19,189.05"
06/28/2023,"18,908.15","19,011.25","18,861.35","18,972.10"
06/27/2023,"18,748.55","18,829.25","18,714.25","18,817.40"
06/26/2023,"18,682.35","18,722.05","18,646.70","18,691.20"
06/23/2023,"18,741.85","18,756.40","18,647.10","18,665.50"
06/22/2023,"18,853.60","18,886.60","18,759.50","18,771.25"
06/21/2023,"18,849.40","18,875.90","18,794.85","18,856.85"
06/20/2023,"18,752.35","18,839.70","18,660.65","18,816.70"
06/19/2023,"18,873.30","18,881.45","18,719.15","18,755.45"
06/16/2023,"18,723.30","18,864.70","18,710.50","18,826.00"
06/15/2023,"18,774.45","18,794.10","18,669.05","18,688.10"
06/14/2023,"18,744.60","18,769.70","18,690.00","18,755.90"
06/13/2023,"18,631.80","18,728.90","18,631.80","18,716.15"
06/12/2023,"18,595.05","18,633.60","18,559.75","18,601.50"
06/09/2023,"18,655.90","18,676.65","18,555.40","18,563.40"
06/08/2023,"18,725.35","18,777.90","18,615.60","18,634.55"
06/07/2023,"18,665.60","18,738.95","18,636.00","18,726.40"
06/06/2023,"18,600.80","18,622.75","18,531.60","18,599.00"
06/05/2023,"18,612.00","18,640.15","18,582.80","18,593.85"
06/02/2023,"18,550.85","18,573.70","18,478.40","18,534.10"
06/01/2023,"18,579.40","18,580.30","18,464.55","18,487.75"
05/31/2023,"18,594.20","18,603.90","18,483.85","18,534.40"
05/30/2023,"18,606.65","18,662.45","18,575.50","18,633.85"
05/29/2023,"18,619.15","18,641.20","18,581.25","18,598.65"
05/26/2023,"18,368.35","18,508.55","18,333.15","18,499.35"
05/25/2023,"18,268.90","18,338.10","18,202.40","18,321.15"
05/24/2023,"18,294.80","18,392.60","18,262.95","18,285.40"
05/23/2023,"18,362.90","18,419.75","18,324.20","18,348.00"
05/22/2023,"18,201.10","18,335.25","18,178.85","18,314.40"
05/19/2023,"18,186.15","18,218.10","18,060.40","18,203.40"
05/18/2023,"18,287.50","18,297.20","18,104.85","18,129.95"
05/17/2023,"18,300.45","18,309.00","18,115.35","18,181.75"
05/16/2023,"18,432.35","18,432.35","18,264.35","18,286.50"
05/15/2023,"18,339.30","18,458.90","18,287.90","18,398.85"
05/12/2023,"18,273.75","18,342.75","18,194.55","18,314.80"
05/11/2023,"18,357.80","18,389.70","18,270.40","18,297.00"
05/10/2023,"18,313.60","18,326.75","18,211.95","18,315.10"
05/09/2023,"18,303.40","18,344.20","18,229.65","18,265.95"
05/08/2023,"18,120.60","18,286.95","18,100.30","18,264.40"
05/05/2023,"18,117.30","18,216.95","18,055.45","18,069.00"
05/04/2023,"18,081.00","18,267.45","18,066.70","18,255.80"
05/03/2023,"18,113.80","18,116.35","18,042.40","18,089.85"
