bioguide,name,chamber,state,district,party,agree_pct,biden_margin
C001087,Rick Crawford,house,,AR-1,Republican,5.7%,-40.9
C001088,Chris Coons,senate,DE,,Democrat,100.0%,18.9
C001090,Matt Cartwright,house,,PA-8,Democrat,96.3%,-2.9
C001091,Joaquin Castro,house,,TX-20,Democrat,93.6%,33.1
C001095,Tom Cotton,senate,AR,,Republican,11.3%,-27.6
C001096,Kevin Cramer,senate,ND,,Republican,17.7%,-33.3
C001097,Tony Cárdenas,house,,CA-29,Democrat,98.1%,51.3
C001098,Ted Cruz,senate,TX,,Republican,9.9%,-5.6
C001101,Katherine Clark,house,,MA-5,Democrat,96.3%,51.1
C001103,John Carter,house,,GA-1,Republican,7.4%,-20.3
C001108,James Comer,house,,KY-1,Republican,5.5%,-42.7
C001110,Lou Correa,house,,CA-46,Democrat,92.3%,30.4
C001112,Salud Carbajal,house,,CA-24,Democrat,98.1%,29.1
C001113,Catherine Cortez Masto,senate,NV,,Democrat,98.6%,2.4
C001114,John Curtis,house,,UT-3,Republican,7.5%,-19.2
C001115,Michael Cloud,house,,TX-27,Republican,5.5%,-22.4
C001116,Andrew Clyde,house,,GA-9,Republican,3.7%,-37.9
C001117,Sean Casten,house,,IL-6,Democrat,96.1%,10.9
C001118,Ben Cline,house,,VA-6,Republican,3.7%,-21.5
C001119,Angie Craig,house,,MN-2,Democrat,70.6%,7.2
C001120,Dan Crenshaw,house,,TX-2,Republican,5.7%,-22.8
C001121,Jason Crow,house,,CO-6,Democrat,96.3%,23.8
C001125,Troy Carter,house,,LA-2,Democrat,96.3%,52.5
C001126,Mike Carey,house,,OH-15,Republican,5.6%,-6.8
C001127,Sheila Cherfilus-McCormick,house,,FL-20,Democrat,96.2%,52.4
C001129,Mike Collins,house,,GA-10,Republican,1.8%,-23.4
C001130,Jasmine Crockett,house,,TX-30,Democrat,94.4%,56.7
C001131,Greg Casar,house,,TX-35,Democrat,92.6%,45.2
C001132,Eli Crane,house,,AZ-2,Republican,5.5%,-7.9
C001133,Juan Ciscomani,house,,AZ-6,Republican,3.7%,0.1
C001134,Yadira Caraveo,house,,CO-8,Democrat,85.2%,4.6
C001135,Lori Chavez-DeRemer,house,,OR-5,Republican,5.5%,8.9
D000032,Byron Donalds,house,,FL-19,Republican,3.7%,-21.0
D000096,Danny Davis,house,,IL-7,Democrat,94.3%,72.8
D000197,Diana DeGette,house,,CO-1,Democrat,94.2%,61.3
D000216,Rosa DeLauro,house,,CT-3,Democrat,96.3%,19.7
D000230,Don Davis,house,,NC-1,Democrat,60.8%,7.3
